id,likes,retweets
892420643555336193,33839,7018
892177421306343426,29355,5303
891815181378084864,22074,3486
891689557279858688,36969,7232
891327558926688256,35343,7771
891087950875897856,17828,2603
890971913173991426,10379,1668
890729181411237888,56908,15771
890609185150312448,24550,3627
890240255349198849,27984,6107
890006608113172480,27065,6157
889880896479866881,24588,4173
889665388333682689,42088,8357
889638837579907072,23690,3720
889531135344209921,13359,1885
889278841981685760,22113,4449
888917238123831296,25659,3768
888804989199671297,22493,3542
888554962724278272,17334,2880
888078434458587136,19164,2901
887705289381826560,26652,4540
887517139158093824,40761,9859
887473957103951883,60236,15044
887343217045368832,29611,8816
887101392804085760,27005,4998
886983233522544640,30415,6325
886736880519319552,10504,2634
886680336477933568,19759,3741
886366144734445568,18563,2634
886267009285017600,105,4
886258384151887873,24550,5297
886054160059072513,0,93
885984800019947520,28638,5620
885528943205470208,31627,5334
885518971528720385,18025,3108
885311592912609280,0,15450
885167619883638784,19275,3672
884925521741709313,67354,15044
884876753390489601,24401,4677
884562892145688576,21344,3917
884441805382717440,23883,4794
884247878851493888,63367,16935
884162670584377345,17960,2508
883838122936631299,19176,2865
883482846933004288,40242,8278
883360690899218434,19965,3086
883117836046086144,32542,5542
882992080364220416,21001,3249
882762694511734784,24823,4103
882627270321602560,24619,5069
882268110199369728,39228,9646
882045870035918850,25751,4084
881906580714921986,21461,2857
881666595344535552,44595,8969
881633300179243008,113,8
881536004380872706,43488,13412
881268444196462592,20502,4497
880935762899988482,15066,2333
880872448815771648,18723,3204
880465832366813184,25046,5220
880221127280381952,23687,3472
880095782870896641,24361,3656
879862464715927552,19728,2933
879674319642796034,281,9
879492040517615616,20725,2630
879415818425184262,92952,37482
879376492567855104,14873,2652
879130579576475649,0,5748
879050749262655488,19826,3958
879008229531029506,16800,2245
878776093423087618,17148,3438
878604707211726852,26462,5933
878404777348136964,0,1078
878316110768087041,0,5533
878281511006478336,6785,1078
878057613040115712,37174,5748
877736472329191424,69383,15835
877611172832227328,0,70
877556246731214848,19919,3173
877316821321428993,24172,4351
877201837425926144,23889,4636
876838120628539392,18236,2807
876537666061221889,21061,3975
876484053909872640,16580,2005
876120275196170240,24709,3909
875747767867523072,22130,3585
875144289856114688,19429,4160
875097192612077568,24266,5119
875021211251597312,22570,3977
874680097055178752,24629,3924
